sample,input,filtered,denoisedF,denoisedR,merged,nochim,perc_original_sequences
3004-01-crs,150488,144413,143257,143244,141308,135406,89.9779384402743
3004-02-lung,30269,29369,29026,28633,28289,27822,91.91582146750801
3005-01-crs,2360,2236,2123,2020,1959,1942,82.28813559322033
3005-02-lung,53075,51953,51493,51033,50664,50063,94.32501177578898
3009-01-crs,80797,79624,79086,78809,78339,77119,95.4478507865391
3011-02-lung,31891,31136,30697,30408,30051,29610,92.84751183719546
3021-02-lung,115106,111729,111166,110561,109401,106859,92.83529963685646
3033-02-lung,47881,46901,46712,46638,46487,45991,96.05271402017502
3034-01-crs,1478,1407,1294,1323,1222,1205,81.52909336941813
3036-01-crs,11560,11280,10951,10575,10429,10092,87.30103806228374
3038-01-crs,35857,34887,34685,34525,34154,33935,94.63981928214852
3051-01-crs,3662,3530,3173,2882,2772,2487,67.91370835608956
5009-01-w,1098,795,631,564,499,484,44.080145719489984
5011-01-w,2067,1907,1808,1820,1746,1746,84.47024673439768
5012-01-w,498,423,360,377,315,315,63.25301204819277
3011SYY,163962,156930,155848,156583,151729,150342,91.69319720423024
3018SYY,6973,5074,4125,4524,3341,2181,31.27778574501649
3021SYY,203799,194993,194141,194425,189135,187238,91.87385610331748
3033SYY,89746,78896,78010,78425,77740,3088,3.4408218750696413
3047SYY,187866,174037,172341,173680,167345,166661,88.712699477287
3061SYY,13603,10667,8434,9608,7707,5230,38.447401308534886
5020W,4296,3787,3593,3649,3454,1564,36.40595903165735
5021W,2683,1874,1494,1484,1176,1147,42.7506522549385
3009SYY2,219059,212645,212160,211865,210771,208743,95.2907664145276
3011LYY2,199778,195296,194830,194354,192970,189132,94.67108490424371
3011SYY2,120815,118295,118031,117298,116774,115760,95.8159168977362
3021LYY2,281105,270480,269780,269521,267584,257394,91.56507354902972
3021SYY2,93216,89726,89516,89445,89047,87433,93.79612941984209
3085LYY,286939,281150,280605,280589,276857,268386,93.53416579830557
3085SYY,7017,6068,5675,4971,4270,3519,50.14963659683625
3087LYY,79693,78067,77968,77907,77742,77249,96.93323127501789
3087SYY,8390,7318,6967,6206,4946,4010,47.794994040524436
3094LYY,395463,383154,382579,382209,378124,332695,84.12797151693078
3094SYY,193970,189424,189262,188964,188177,187070,96.44274887869258
3102LYY,181411,176657,176417,176357,175684,170110,93.77049903258346
3102SYY,100439,98646,98541,98400,98296,97708,97.28093668793994
3112SYY,111868,109451,109238,109131,108891,108239,96.7559981406658
3115SYY,233747,229717,229491,229302,227885,218790,93.6012012988402
5030W,555,496,482,478,463,463,83.42342342342343
5031W,547,449,405,358,324,324,59.23217550274224
3009CYY,62924,58794,58569,58592,58333,58054,92.26050473587183
3061LYY,66772,61676,61433,61064,60284,58094,87.00353441562332
3115SYY2,81529,74632,74224,73869,72595,66442,81.49492818506299
3128CYY,83803,78626,78329,78152,77464,76244,90.98003651420593
3129CYY,20470,18366,17850,17213,15862,14853,72.5598436736688
3130SYY,7365,6448,6177,6137,5213,4936,67.01968771215206
3131LYY,93445,86304,85930,85577,84722,83808,89.6869816469581
3131SYY,54185,49587,49249,48625,48094,47626,87.89517394112761
3133SYY,54560,50931,50578,50096,49398,48732,89.31818181818181
3134CYY,8089,6643,6049,5746,4682,4103,50.72320435158858
3158LYY,27336,24785,24342,24166,22965,22221,81.28841088674275
3158SYY,69822,65027,64505,64006,62956,61578,88.19283320443412
3159CYY,15696,14372,13982,13612,12206,11529,73.45183486238533
3162CYY,107132,101789,101557,101365,100034,95637,89.2702460515999
3169SYY,61431,56760,56387,56235,55357,53958,87.83513209942862
3171CYY,99118,94138,93914,93757,93126,88620,89.40858370830726
3171LYY,44314,41063,40634,40190,39099,38133,86.05181206842082
3171SYY,74605,69818,69588,69558,69130,67429,90.38134173312781
5040B,213,137,74,87,58,58,27.230046948356808
